feedback_id,date,channel,customer_segment,plan_type,language,message,rating,product_area,sentiment_label,priority,resolved,response_time_hours
FB-00030,2025-01-13,chat,small_business,basic,es,Las exportaciones PDF son legibles aunque el formato podría mejorar. Nuestro equipo pequeño depende de que esto funcione bien.,3,exports,neutral,low,True,3.5
FB-00031,2025-01-15,nps_survey,agency,pro,es,La integración con Slack mantiene al equipo sincronizado sin cambiar de contexto. Pasamos al plan Pro justamente por un mejor servicio.,5,integrations,positive,medium,False,9.5
FB-00032,2025-07-17,email,agency,free,es,El módulo de reportes carece de filtros básicos que usamos a diario. Gestionamos varias cuentas de clientes y esto nos está frenando.,2,features,negative,medium,True,45.0
FB-00033,2025-11-16,email,freelancer,pro,en,The team closed our ticket without actually fixing the problem. We upgraded to Pro specifically for better service.,2,support,negative,medium,True,34.7
FB-00034,2025-12-07,nps_survey,small_business,enterprise,en,The annual discount made upgrading an easy decision.,5,pricing,positive,medium,True,29.9
FB-00035,2025-08-27,support_ticket,agency,pro,en,Support quality varies depending on who handles the ticket. We manage several client accounts and this is blocking delivery.,3,support,neutral,medium,True,26.9
FB-00036,2025-02-17,contact_form,agency,pro,en,Page load times are consistently under two seconds for our team. We upgraded to Pro specifically for better service.,4,performance,positive,medium,True,17.8
FB-00037,2025-12-23,chat,agency,basic,en,"Our team loses hours every week waiting for pages to load. Given our basic plan, we hoped for smoother support.",2,performance,negative,high,True,78.1
FB-00038,2025-01-26,support_ticket,agency,enterprise,en,"Every support interaction feels like starting from scratch. As enterprise customers, we expect priority handling.",1,support,negative,low,True,13.7
FB-00039,2025-10-08,email,agency,enterprise,en,CSV exports corrupt special characters in our international data.,1,exports,negative,high,True,41.8
FB-00040,2025-08-14,contact_form,small_business,pro,es,La integración con Slack mantiene al equipo sincronizado sin cambiar de contexto. Pasamos al plan Pro justamente por un mejor servicio.,4,integrations,positive,medium,False,11.2
FB-00041,2025-07-28,review,freelancer,enterprise,en,The UX feels modern and thoughtfully designed.,4,usability,positive,medium,True,44.2
FB-00042,2025-09-02,email,agency,enterprise,es,"Me cobraron dos veces este mes y el soporte no ha respondido. Como clientes enterprise, esperamos atención prioritaria.",1,billing,negative,critical,False,148.3
FB-00043,2025-04-23,email,small_business,enterprise,es,Las entregas por webhook fallan al azar y perdemos eventos críticos. Nuestro equipo pequeño depende de que esto funcione bien.,1,integrations,negative,critical,False,129.5
FB-00044,2025-07-21,chat,agency,free,en,Exported files are missing critical columns we need for compliance. We manage several client accounts and this is blocking delivery.,1,exports,negative,critical,False,69.8
FB-00045,2025-05-23,nps_survey,startup,enterprise,es,El chat en vivo fue competente y amable. Estamos creciendo rápido y necesitamos una solución pronto.,4,support,positive,medium,True,29.6
FB-00046,2025-05-07,nps_survey,freelancer,free,es,Los tiempos de carga son consistentemente bajos para nuestro equipo.,4,performance,positive,high,True,32.2
FB-00047,2025-03-25,review,small_business,free,en,Transparent pricing with no hidden fees is a big plus. Our small team depends on this working reliably.,4,pricing,positive,medium,True,35.1
FB-00048,2025-12-23,chat,small_business,free,en,"We got an answer, but had to follow up twice.",3,support,neutral,low,True,23.6
FB-00049,2025-01-07,support_ticket,freelancer,pro,es,"La llamada de onboarding ayudó, pero los recursos de seguimiento fueron escasos. Pasamos al plan Pro justamente por un mejor servicio.",3,onboarding,neutral,medium,False,33.4
FB-00050,2025-11-12,chat,agency,pro,en,Promised onboarding support never materialized.,2,onboarding,negative,low,True,7.4
FB-00051,2025-06-22,support_ticket,enterprise,enterprise,en,"Exports work but column naming could be more consistent. As enterprise customers, we expect priority handling.",3,exports,neutral,low,True,9.8
FB-00052,2025-09-22,nps_survey,startup,free,en,Role-based permissions give us the control we need. We're scaling fast and need this resolved quickly.,5,account_access,positive,high,True,78.6
FB-00053,2025-05-31,contact_form,freelancer,free,es,"Las exportaciones PDF son legibles aunque el formato podría mejorar. Como freelancer, esto afecta mucho mi flujo de trabajo.",3,exports,neutral,medium,True,34.6
FB-00054,2025-06-30,nps_survey,agency,pro,es,La integración con Zapier conectó nuestro stack en menos de una hora. Gestionamos varias cuentas de clientes y esto nos está frenando.,4,integrations,positive,medium,True,15.7
FB-00055,2025-10-29,support_ticket,enterprise,pro,es,La experiencia móvil es casi inutilizable para nuestro equipo de campo.,1,usability,negative,low,True,8.6
FB-00056,2025-12-24,contact_form,freelancer,pro,es,"El costo es razonable, aunque nos gustarían más opciones intermedias.",3,pricing,neutral,low,True,2.3
FB-00057,2025-09-02,nps_survey,freelancer,pro,en,CSV exports are fast and include all the fields we need.,4,exports,positive,low,True,3.2
FB-00058,2025-10-13,review,small_business,free,en,Price is okay for now; we'll reassess at renewal.,3,pricing,neutral,low,True,13.5
FB-00059,2025-10-19,chat,enterprise,pro,en,The price increased 40% at renewal with no added value.,2,pricing,negative,high,True,39.2
FB-00060,2025-01-02,contact_form,freelancer,basic,en,Live chat support was knowledgeable and friendly.,4,support,positive,low,True,17.6
FB-00061,2025-08-06,contact_form,startup,basic,es,La aplicación se cae constantemente al cargar reportes grandes.,2,performance,negative,critical,False,56.6
FB-00062,2025-08-13,review,agency,pro,en,Access controls work but admin settings are hard to find. We upgraded to Pro specifically for better service.,3,account_access,neutral,high,True,43.6
FB-00063,2025-11-06,email,enterprise,pro,en,Performance degraded sharply after the last update. This affects multiple departments across our organization.,1,performance,negative,high,False,86.0
FB-00064,2025-09-23,email,small_business,enterprise,es,"Competidores ofrecen funciones similares a la mitad del costo. Como clientes enterprise, esperamos atención prioritaria.",2,pricing,negative,medium,True,27.7
FB-00065,2025-06-18,support_ticket,freelancer,basic,es,"El soporte de incorporación prometido nunca llegó. Con el plan básico, esperábamos un soporte más ágil.",2,onboarding,negative,medium,False,30.0
FB-00066,2025-12-03,chat,enterprise,free,en,The annual discount made upgrading an easy decision. This affects multiple departments across our organization.,4,pricing,positive,low,True,18.6
FB-00067,2025-05-28,contact_form,agency,basic,en,The billing section is functional but not particularly intuitive.,3,billing,neutral,medium,True,33.2
FB-00068,2025-02-17,review,agency,enterprise,en,"The cost is reasonable, though we'd like more mid-tier options.",3,pricing,neutral,medium,True,12.7
FB-00069,2025-09-05,review,startup,enterprise,en,The annual discount made upgrading an easy decision. We're scaling fast and need this resolved quickly.,5,pricing,positive,medium,True,44.9
FB-00070,2025-06-24,email,startup,enterprise,en,"The mobile experience is nearly unusable for our field staff. As enterprise customers, we expect priority handling.",1,usability,negative,high,False,95.9
FB-00071,2025-10-10,chat,startup,pro,en,CSV exports corrupt special characters in our international data. We upgraded to Pro specifically for better service.,1,exports,negative,medium,True,30.9
FB-00072,2025-07-17,review,enterprise,enterprise,en,"Onboarding documentation is outdated and contradicts the actual UI. As enterprise customers, we expect priority handling.",1,onboarding,negative,low,True,21.1
FB-00073,2025-12-02,chat,small_business,enterprise,es,Las exportaciones programadas a nuestro data warehouse funcionan sin fallos. Nuestro equipo pequeño depende de que esto funcione bien.,5,exports,positive,low,True,15.7
FB-00074,2025-06-12,chat,agency,enterprise,en,"Competitors shipped these features months ago. As enterprise customers, we expect priority handling.",1,features,negative,high,False,90.3
FB-00075,2025-03-27,review,freelancer,enterprise,en,"We got started eventually, but documentation could be better organized. As enterprise customers, we expect priority handling.",3,onboarding,neutral,critical,False,83.2
FB-00076,2025-03-29,nps_survey,agency,basic,en,The help center articles resolved my question on the first try. We manage several client accounts and this is blocking delivery.,5,support,positive,medium,True,17.6
FB-00077,2025-12-08,email,enterprise,pro,en,CSV exports are fast and include all the fields we need.,4,exports,positive,medium,True,11.0
FB-00078,2025-08-22,nps_survey,enterprise,pro,es,Pagamos tarifas enterprise pero recibimos un servicio básico. Esto impacta a varios departamentos de nuestra organización.,1,pricing,negative,high,True,41.1
FB-00079,2025-01-05,email,enterprise,pro,en,Pricing is competitive but the jump between tiers feels steep.,3,pricing,neutral,high,False,89.0
FB-00080,2025-12-14,review,small_business,pro,es,El conjunto de funciones cubre lo básico; queremos más personalización.,3,features,neutral,low,True,8.8
FB-00081,2025-06-17,chat,freelancer,pro,es,"El módulo de analítica superó nuestras expectativas. Como freelancer, esto afecta mucho mi flujo de trabajo.",4,features,positive,medium,True,46.9
FB-00082,2025-06-01,email,startup,enterprise,en,We're paying enterprise rates but getting basic-level service.,1,pricing,negative,high,False,40.2
FB-00083,2025-07-22,contact_form,startup,free,es,Nos dejaron solos tras el registro sin pasos claros a seguir. Estamos creciendo rápido y necesitamos una solución pronto.,1,onboarding,negative,critical,False,137.9
FB-00084,2025-01-13,nps_survey,small_business,enterprise,en,"Custom workflows are powerful and flexible. As enterprise customers, we expect priority handling.",4,features,positive,low,True,22.0
FB-00085,2025-09-10,nps_survey,freelancer,pro,en,"Performance is acceptable most days, with occasional slowdowns. As a freelancer, this matters a lot to my workflow.",3,performance,neutral,medium,False,13.4
FB-00086,2025-12-02,chat,small_business,enterprise,en,Integrations work for common tools but niche connectors are missing.,3,integrations,neutral,high,False,44.1
FB-00087,2025-02-20,contact_form,small_business,pro,es,"Podemos exportar datos, pero las exportaciones grandes a veces fallan por tiempo.",3,exports,neutral,medium,True,23.9
FB-00088,2025-01-26,review,small_business,free,en,We can't export historical data beyond 30 days on our plan. Our small team depends on this working reliably.,1,exports,negative,low,True,3.5
FB-00089,2025-03-17,email,small_business,pro,en,"Support eventually helped, but it took longer than expected. Our small team depends on this working reliably.",3,support,neutral,high,False,95.1
FB-00090,2025-01-08,email,freelancer,basic,en,"Design is fine overall, though a few flows feel outdated. Given our basic plan, we hoped for smoother support.",3,usability,neutral,low,True,5.8
FB-00091,2025-08-18,support_ticket,freelancer,enterprise,en,"Training materials helped us adopt the platform quickly. As enterprise customers, we expect priority handling.",5,onboarding,positive,medium,False,9.7
FB-00092,2025-09-03,contact_form,freelancer,free,es,"Las opciones de exportación cubren la mayoría de necesidades con algunas brechas. Como freelancer, esto afecta mucho mi flujo de trabajo.",3,exports,neutral,medium,True,36.5
FB-00093,2025-03-06,chat,small_business,free,en,Performance has been rock solid even during peak usage.,5,performance,positive,medium,True,31.9
FB-00094,2025-08-09,nps_survey,freelancer,basic,en,Multi-factor authentication setup was straightforward.,5,account_access,positive,medium,True,37.2
FB-00095,2025-02-04,nps_survey,small_business,enterprise,en,"The pricing is fair for the value we get from the platform. As enterprise customers, we expect priority handling.",4,pricing,positive,low,True,19.9
FB-00096,2025-07-01,email,freelancer,enterprise,es,La integración con Zapier conectó nuestro stack en menos de una hora.,5,integrations,positive,high,True,49.3
FB-00097,2025-06-29,email,small_business,free,en,The mobile experience is nearly unusable for our field staff. Our small team depends on this working reliably.,1,usability,negative,high,True,54.9
FB-00098,2025-11-08,email,agency,free,en,I can't reset my password and support hasn't helped in days. We manage several client accounts and this is blocking delivery.,1,account_access,negative,high,False,90.4
FB-00099,2025-03-14,nps_survey,enterprise,free,en,The interface is very intuitive; I configured everything in minutes. This affects multiple departments across our organization.,5,usability,positive,medium,True,26.1
FB-00100,2025-01-27,review,agency,free,es,Las nuevas funciones encajan bien con lo que realmente necesitamos. Gestionamos varias cuentas de clientes y esto nos está frenando.,5,features,positive,medium,True,18.9
FB-00101,2025-09-20,contact_form,startup,basic,es,Los controles de acceso funcionan pero los ajustes de admin son difíciles de encontrar. Estamos creciendo rápido y necesitamos una solución pronto.,3,account_access,neutral,high,True,72.8
FB-00102,2025-01-04,email,enterprise,free,es,Funciones esenciales están bloqueadas en el plan más caro. Esto impacta a varios departamentos de nuestra organización.,1,pricing,negative,low,True,7.6
FB-00103,2025-07-14,nps_survey,small_business,basic,en,Scheduled exports to our data warehouse work flawlessly.,5,exports,positive,medium,True,42.5
FB-00104,2025-10-21,support_ticket,agency,enterprise,es,Las exportaciones CSV corrompen caracteres especiales en nuestros datos internacionales.,1,exports,negative,critical,True,87.0
FB-00105,2025-08-12,email,freelancer,basic,es,Los competidores lanzaron estas funciones hace meses.,1,features,negative,low,True,9.3
FB-00106,2025-06-29,review,small_business,pro,es,Los tiempos de carga son consistentemente bajos para nuestro equipo. Nuestro equipo pequeño depende de que esto funcione bien.,4,performance,positive,medium,True,32.1
FB-00107,2025-12-15,contact_form,agency,enterprise,en,Export formats are flexible and easy to automate.,4,exports,positive,medium,True,25.7
FB-00108,2025-06-08,nps_survey,agency,free,en,SSO works most of the time with occasional hiccups. We're on the free plan but still expect basic reliability.,3,account_access,neutral,low,True,3.7
FB-00109,2025-08-19,support_ticket,agency,free,en,The API returns inconsistent errors with no useful documentation. We manage several client accounts and this is blocking delivery.,1,integrations,negative,high,True,28.5
FB-00110,2025-12-29,support_ticket,freelancer,basic,es,Los competidores lanzaron estas funciones hace meses.,2,features,negative,high,True,90.1
FB-00111,2025-02-03,chat,freelancer,pro,en,"We can't use half the features because they're buggy. As a freelancer, this matters a lot to my workflow.",2,features,negative,high,True,76.1
FB-00112,2025-10-26,contact_form,startup,free,en,Admin accounts lost permissions after the last security update. We're on the free plan but still expect basic reliability.,2,account_access,negative,critical,False,63.5
FB-00113,2025-12-10,contact_form,startup,basic,en,The price increased 40% at renewal with no added value.,1,pricing,negative,medium,True,15.2
FB-00114,2025-02-09,review,small_business,basic,en,"Export formats are flexible and easy to automate. Given our basic plan, we hoped for smoother support.",5,exports,positive,low,True,21.4
FB-00115,2025-03-25,support_ticket,enterprise,basic,en,Admin accounts lost permissions after the last security update.,2,account_access,negative,medium,True,25.5
FB-00116,2025-10-01,chat,enterprise,basic,es,La documentación es útil aunque a veces está desactualizada. Esto impacta a varios departamentos de nuestra organización.,3,support,neutral,high,False,57.8
FB-00117,2025-07-15,review,enterprise,pro,es,Configurar la autenticación multifactor fue sencillo.,5,account_access,positive,critical,True,78.0
FB-00118,2025-05-26,contact_form,freelancer,free,es,"Las funciones principales funcionan bien, pero las avanzadas son limitadas. Estamos en el plan gratuito pero esperamos un mínimo de estabilidad.",3,features,neutral,medium,False,13.9
FB-00119,2025-08-01,chat,startup,free,en,Support responded within an hour and solved our issue completely. We're scaling fast and need this resolved quickly.,5,support,positive,medium,True,11.3
FB-00120,2025-03-12,review,startup,basic,es,La plataforma es rápida y maneja nuestra carga sin demoras. Estamos creciendo rápido y necesitamos una solución pronto.,5,performance,positive,high,False,34.0
FB-00121,2025-05-12,contact_form,freelancer,free,en,"Login is reliable, though password reset emails are slow.",3,account_access,neutral,low,True,13.6
FB-00122,2025-08-03,support_ticket,freelancer,basic,es,"El soporte nos redirige sin ofrecer soluciones reales. Como freelancer, esto afecta mucho mi flujo de trabajo.",2,support,negative,medium,True,29.4
FB-00123,2025-01-01,contact_form,startup,enterprise,en,"We got an answer, but had to follow up twice. We're scaling fast and need this resolved quickly.",3,support,neutral,medium,True,34.6
FB-00124,2025-07-19,support_ticket,agency,free,en,Competitors shipped these features months ago. We manage several client accounts and this is blocking delivery.,1,features,negative,low,True,18.4
FB-00125,2025-03-10,nps_survey,freelancer,pro,en,"Core features work well, but advanced options feel limited. As a freelancer, this matters a lot to my workflow.",3,features,neutral,low,True,16.1
FB-00126,2025-08-23,contact_form,small_business,free,en,Exports work but column naming could be more consistent. Our small team depends on this working reliably.,3,exports,neutral,medium,True,16.0
FB-00127,2025-05-10,support_ticket,agency,enterprise,en,"Pricing is competitive but the jump between tiers feels steep. As enterprise customers, we expect priority handling.",3,pricing,neutral,medium,True,39.2
FB-00128,2025-08-14,contact_form,enterprise,enterprise,en,We notice minor delays during busy hours but nothing critical. This affects multiple departments across our organization.,3,performance,neutral,critical,True,131.0
FB-00129,2025-02-10,nps_survey,freelancer,enterprise,en,We can't connect our internal tools because OAuth keeps failing.,1,integrations,negative,high,True,29.8
FB-00130,2025-12-20,contact_form,enterprise,basic,en,We rely on daily exports and they've been 100% reliable. This affects multiple departments across our organization.,4,exports,positive,medium,False,22.1
FB-00131,2025-09-20,chat,enterprise,pro,en,"Payments go through, but I'd like more payment method options. We upgraded to Pro specifically for better service.",3,billing,neutral,low,True,19.2
FB-00132,2025-07-16,support_ticket,startup,pro,es,El soporte respondió en menos de una hora y resolvió nuestro problema.,5,support,positive,medium,True,38.5
FB-00133,2025-02-28,email,startup,basic,en,The automation features save our team several hours each week.,5,features,positive,low,True,7.8
FB-00134,2025-03-04,nps_survey,enterprise,basic,en,The help docs are useful though sometimes out of date.,3,support,neutral,high,False,56.0
FB-00135,2025-06-03,support_ticket,freelancer,pro,en,The reporting module lacks basic filters we need daily.,2,features,negative,high,False,60.6
FB-00136,2025-07-04,support_ticket,enterprise,free,en,The mobile experience is nearly unusable for our field staff.,1,usability,negative,medium,False,10.6
FB-00137,2025-03-06,chat,enterprise,free,es,No podemos exportar datos históricos más allá de 30 días en nuestro plan.,2,exports,negative,medium,True,43.1
FB-00138,2025-09-15,email,small_business,enterprise,en,The interface is confusing and our team struggles daily.,1,usability,negative,high,True,91.3
FB-00139,2025-04-11,review,freelancer,pro,es,"La documentación de la API es clara y los webhooks funcionan de forma consistente. Como freelancer, esto afecta mucho mi flujo de trabajo.",4,integrations,positive,high,True,60.2
FB-00140,2025-10-16,review,agency,pro,en,SSO login works seamlessly across our entire organization. We upgraded to Pro specifically for better service.,4,account_access,positive,low,True,14.7
FB-00141,2025-11-18,contact_form,freelancer,enterprise,en,"Account recovery was quick and secure. As enterprise customers, we expect priority handling.",4,account_access,positive,medium,True,24.2
FB-00142,2025-08-26,chat,enterprise,enterprise,en,Billing is transparent and easy to understand each month. This affects multiple departments across our organization.,4,billing,positive,low,True,9.0
FB-00143,2025-06-13,nps_survey,agency,free,es,Las acciones importantes están enterradas bajo demasiados menús. Estamos en el plan gratuito pero esperamos un mínimo de estabilidad.,1,usability,negative,high,True,44.9
FB-00144,2025-10-23,chat,small_business,pro,en,Our team gave up on setup after hitting multiple dead ends. Our small team depends on this working reliably.,1,onboarding,negative,medium,False,26.7
FB-00145,2025-05-04,nps_survey,agency,enterprise,en,"Page load times are consistently under two seconds for our team. As enterprise customers, we expect priority handling.",4,performance,positive,critical,False,149.1
FB-00146,2025-03-10,contact_form,freelancer,enterprise,en,Webhook setup required extra troubleshooting on our end.,3,integrations,neutral,low,True,10.8
FB-00147,2025-09-16,email,freelancer,enterprise,en,"Competitors shipped these features months ago. As enterprise customers, we expect priority handling.",2,features,negative,medium,True,12.8
FB-00148,2025-04-12,support_ticket,startup,basic,en,"Features are adequate for now but not a differentiator. Given our basic plan, we hoped for smoother support.",3,features,neutral,medium,True,21.3
FB-00149,2025-06-17,chat,agency,basic,en,The mobile experience is nearly unusable for our field staff. We manage several client accounts and this is blocking delivery.,2,usability,negative,high,False,45.5
FB-00150,2025-09-01,nps_survey,agency,pro,en,The Slack integration keeps our team in sync without context switching. We manage several client accounts and this is blocking delivery.,5,integrations,positive,medium,False,31.3
FB-00151,2025-01-27,contact_form,startup,basic,es,Nos han cobrado de más en el plan enterprise durante tres meses. Estamos creciendo rápido y necesitamos una solución pronto.,2,billing,negative,high,False,84.6
FB-00152,2025-01-10,review,freelancer,basic,es,"La calidad del soporte varía según quién atienda el ticket. Como freelancer, esto afecta mucho mi flujo de trabajo.",3,support,neutral,low,True,17.2
FB-00153,2025-09-23,chat,freelancer,basic,en,Admin accounts lost permissions after the last security update.,1,account_access,negative,critical,False,162.8
FB-00154,2025-04-09,chat,startup,enterprise,en,The reporting module lacks basic filters we need daily. We're scaling fast and need this resolved quickly.,1,features,negative,medium,False,47.3
FB-00155,2025-05-28,nps_survey,startup,pro,en,Exports work but column naming could be more consistent.,3,exports,neutral,low,True,10.7
FB-00156,2025-06-27,nps_survey,startup,free,es,Seguimos pulsando botones incorrectos porque las etiquetas no son claras.,1,usability,negative,medium,False,18.8
FB-00157,2025-05-05,email,agency,basic,en,The interface is confusing and our team struggles daily.,2,usability,negative,low,True,11.1
FB-00158,2025-07-28,contact_form,agency,basic,es,"La usabilidad es decente; algunas acciones requieren demasiados clics. Con el plan básico, esperábamos un soporte más ágil.",3,usability,neutral,low,False,9.1
FB-00159,2025-03-31,contact_form,small_business,free,es,Los reportes se generan rápido incluso con grandes volúmenes de datos. Estamos en el plan gratuito pero esperamos un mínimo de estabilidad.,5,performance,positive,high,False,52.6
FB-00160,2025-10-18,chat,freelancer,pro,es,El precio es competitivo pero el salto entre planes se siente alto. Pasamos al plan Pro justamente por un mejor servicio.,3,pricing,neutral,high,True,70.2
FB-00161,2025-04-09,email,enterprise,pro,en,The interface is confusing and our team struggles daily. This affects multiple departments across our organization.,2,usability,negative,high,False,75.7
FB-00162,2025-11-09,support_ticket,small_business,basic,es,Competidores ofrecen funciones similares a la mitad del costo.,1,pricing,negative,medium,True,15.4
FB-00163,2025-08-17,review,enterprise,basic,en,"Our account manager has been proactive and very helpful. Given our basic plan, we hoped for smoother support.",5,support,positive,low,True,16.4
FB-00164,2025-12-18,contact_form,small_business,enterprise,en,Performance has been rock solid even during peak usage.,5,performance,positive,medium,True,16.8
FB-00165,2025-08-01,review,agency,pro,en,We rely on daily exports and they've been 100% reliable.,5,exports,positive,medium,True,35.2
FB-00166,2025-02-09,email,agency,pro,en,The app crashes constantly when loading large reports. We manage several client accounts and this is blocking delivery.,1,performance,negative,high,False,65.2
FB-00167,2025-02-16,review,small_business,enterprise,es,La integración con Zapier conectó nuestro stack en menos de una hora.,5,integrations,positive,medium,True,10.3
FB-00168,2025-01-02,chat,enterprise,pro,es,Funciones esenciales están bloqueadas en el plan más caro. Pasamos al plan Pro justamente por un mejor servicio.,1,pricing,negative,high,True,95.6
FB-00169,2025-03-11,support_ticket,enterprise,basic,en,CSV exports corrupt special characters in our international data. This affects multiple departments across our organization.,2,exports,negative,low,True,22.2
FB-00170,2025-04-02,chat,startup,free,es,La mayoría de integraciones son estables; algunas requieren reautorización periódica.,3,integrations,neutral,medium,True,8.1
FB-00171,2025-09-30,support_ticket,agency,enterprise,en,"CSV exports corrupt special characters in our international data. As enterprise customers, we expect priority handling.",1,exports,negative,high,True,91.5
FB-00172,2025-05-04,contact_form,enterprise,free,en,My subscription renewed without warning and I can't get a refund. This affects multiple departments across our organization.,2,billing,negative,critical,False,128.6
FB-00173,2025-01-29,support_ticket,small_business,basic,en,"Payments go through, but I'd like more payment method options. Given our basic plan, we hoped for smoother support.",3,billing,neutral,high,False,76.7
FB-00174,2025-07-31,nps_survey,small_business,basic,es,Los flujos personalizados son potentes y flexibles. Nuestro equipo pequeño depende de que esto funcione bien.,5,features,positive,low,True,18.2
FB-00175,2025-11-26,review,freelancer,pro,en,"The onboarding call helped, but follow-up resources were sparse. We upgraded to Pro specifically for better service.",3,onboarding,neutral,medium,True,14.0
FB-00176,2025-12-29,chat,small_business,pro,en,The API is functional though rate limits can be restrictive.,3,integrations,neutral,high,True,93.7
FB-00177,2025-11-28,email,small_business,pro,en,We were left alone after signup with no clear next steps.,1,onboarding,negative,medium,False,15.6
FB-00178,2025-10-28,nps_survey,freelancer,basic,es,Los permisos por rol nos dan el control que necesitamos.,4,account_access,positive,high,False,25.1
FB-00179,2025-12-23,review,enterprise,basic,es,Hemos tenido timeouts severos durante operaciones críticas. Esto impacta a varios departamentos de nuestra organización.,1,performance,negative,critical,False,82.0
