feedback_id,date,channel,customer_segment,plan_type,language,message,rating,product_area,sentiment_label,priority,resolved,response_time_hours,clean_message,message_length,word_count,month,is_negative,is_positive,is_critical,is_high_priority,is_unresolved,is_unresolved_critical
FB-00030,2025-01-13,chat,small_business,basic,es,Las exportaciones PDF son legibles aunque el formato podría mejorar. Nuestro equipo pequeño depende de que esto funcione bien.,3,exports,neutral,low,True,3.5,las exportaciones pdf son legibles aunque el formato podría mejorar nuestro equipo pequeño depende de que esto funcione bien,124,19,1,False,False,False,False,False,False
FB-00031,2025-01-15,nps_survey,agency,pro,es,La integración con Slack mantiene al equipo sincronizado sin cambiar de contexto. Pasamos al plan Pro justamente por un mejor servicio.,5,integrations,positive,medium,False,9.5,la integración con slack mantiene al equipo sincronizado sin cambiar de contexto pasamos al plan pro justamente por un mejor servicio,133,21,1,False,True,False,False,True,False
FB-00032,2025-07-17,email,agency,free,es,El módulo de reportes carece de filtros básicos que usamos a diario. Gestionamos varias cuentas de clientes y esto nos está frenando.,2,features,negative,medium,True,45.0,el módulo de reportes carece de filtros básicos que usamos a diario gestionamos varias cuentas de clientes y esto nos está frenando,131,22,7,True,False,False,False,False,False
FB-00033,2025-11-16,email,freelancer,pro,en,The team closed our ticket without actually fixing the problem. We upgraded to Pro specifically for better service.,2,support,negative,medium,True,34.7,the team closed our ticket without actually fixing the problem we upgraded to pro specifically for better service,113,18,11,True,False,False,False,False,False
FB-00034,2025-12-07,nps_survey,small_business,enterprise,en,The annual discount made upgrading an easy decision.,5,pricing,positive,medium,True,29.9,the annual discount made upgrading an easy decision,51,8,12,False,True,False,False,False,False
FB-00035,2025-08-27,support_ticket,agency,pro,en,Support quality varies depending on who handles the ticket. We manage several client accounts and this is blocking delivery.,3,support,neutral,medium,True,26.9,support quality varies depending on who handles the ticket we manage several client accounts and this is blocking delivery,122,19,8,False,False,False,False,False,False
FB-00036,2025-02-17,contact_form,agency,pro,en,Page load times are consistently under two seconds for our team. We upgraded to Pro specifically for better service.,4,performance,positive,medium,True,17.8,page load times are consistently under two seconds for our team we upgraded to pro specifically for better service,114,19,2,False,True,False,False,False,False
FB-00037,2025-12-23,chat,agency,basic,en,"Our team loses hours every week waiting for pages to load. Given our basic plan, we hoped for smoother support.",2,performance,negative,high,True,78.1,our team loses hours every week waiting for pages to load given our basic plan we hoped for smoother support,108,20,12,True,False,False,True,False,False
FB-00038,2025-01-26,support_ticket,agency,enterprise,en,"Every support interaction feels like starting from scratch. As enterprise customers, we expect priority handling.",1,support,negative,low,True,13.7,every support interaction feels like starting from scratch as enterprise customers we expect priority handling,110,15,1,True,False,False,False,False,False
FB-00039,2025-10-08,email,agency,enterprise,en,CSV exports corrupt special characters in our international data.,1,exports,negative,high,True,41.8,csv exports corrupt special characters in our international data,64,9,10,True,False,False,True,False,False
FB-00040,2025-08-14,contact_form,small_business,pro,es,La integración con Slack mantiene al equipo sincronizado sin cambiar de contexto. Pasamos al plan Pro justamente por un mejor servicio.,4,integrations,positive,medium,False,11.2,la integración con slack mantiene al equipo sincronizado sin cambiar de contexto pasamos al plan pro justamente por un mejor servicio,133,21,8,False,True,False,False,True,False
FB-00041,2025-07-28,review,freelancer,enterprise,en,The UX feels modern and thoughtfully designed.,4,usability,positive,medium,True,44.2,the ux feels modern and thoughtfully designed,45,7,7,False,True,False,False,False,False
FB-00042,2025-09-02,email,agency,enterprise,es,"Me cobraron dos veces este mes y el soporte no ha respondido. Como clientes enterprise, esperamos atención prioritaria.",1,billing,negative,critical,False,148.3,me cobraron dos veces este mes y el soporte no ha respondido como clientes enterprise esperamos atención prioritaria,116,18,9,True,False,True,False,True,True
FB-00043,2025-04-23,email,small_business,enterprise,es,Las entregas por webhook fallan al azar y perdemos eventos críticos. Nuestro equipo pequeño depende de que esto funcione bien.,1,integrations,negative,critical,False,129.5,las entregas por webhook fallan al azar y perdemos eventos críticos nuestro equipo pequeño depende de que esto funcione bien,124,20,4,True,False,True,False,True,True
FB-00044,2025-07-21,chat,agency,free,en,Exported files are missing critical columns we need for compliance. We manage several client accounts and this is blocking delivery.,1,exports,negative,critical,False,69.8,exported files are missing critical columns we need for compliance we manage several client accounts and this is blocking delivery,130,20,7,True,False,True,False,True,True
FB-00045,2025-05-23,nps_survey,startup,enterprise,es,El chat en vivo fue competente y amable. Estamos creciendo rápido y necesitamos una solución pronto.,4,support,positive,medium,True,29.6,el chat en vivo fue competente y amable estamos creciendo rápido y necesitamos una solución pronto,98,16,5,False,True,False,False,False,False
FB-00046,2025-05-07,nps_survey,freelancer,free,es,Los tiempos de carga son consistentemente bajos para nuestro equipo.,4,performance,positive,high,True,32.2,los tiempos de carga son consistentemente bajos para nuestro equipo,67,10,5,False,True,False,True,False,False
FB-00047,2025-03-25,review,small_business,free,en,Transparent pricing with no hidden fees is a big plus. Our small team depends on this working reliably.,4,pricing,positive,medium,True,35.1,transparent pricing with no hidden fees is a big plus our small team depends on this working reliably,101,18,3,False,True,False,False,False,False
FB-00048,2025-12-23,chat,small_business,free,en,"We got an answer, but had to follow up twice.",3,support,neutral,low,True,23.6,we got an answer but had to follow up twice,43,10,12,False,False,False,False,False,False
FB-00049,2025-01-07,support_ticket,freelancer,pro,es,"La llamada de onboarding ayudó, pero los recursos de seguimiento fueron escasos. Pasamos al plan Pro justamente por un mejor servicio.",3,onboarding,neutral,medium,False,33.4,la llamada de onboarding ayudó pero los recursos de seguimiento fueron escasos pasamos al plan pro justamente por un mejor servicio,131,21,1,False,False,False,False,True,False
FB-00050,2025-11-12,chat,agency,pro,en,Promised onboarding support never materialized.,2,onboarding,negative,low,True,7.4,promised onboarding support never materialized,46,5,11,True,False,False,False,False,False
FB-00051,2025-06-22,support_ticket,enterprise,enterprise,en,"Exports work but column naming could be more consistent. As enterprise customers, we expect priority handling.",3,exports,neutral,low,True,9.8,exports work but column naming could be more consistent as enterprise customers we expect priority handling,107,16,6,False,False,False,False,False,False
FB-00052,2025-09-22,nps_survey,startup,free,en,Role-based permissions give us the control we need. We're scaling fast and need this resolved quickly.,5,account_access,positive,high,True,78.6,role based permissions give us the control we need we re scaling fast and need this resolved quickly,100,18,9,False,True,False,True,False,False
FB-00053,2025-05-31,contact_form,freelancer,free,es,"Las exportaciones PDF son legibles aunque el formato podría mejorar. Como freelancer, esto afecta mucho mi flujo de trabajo.",3,exports,neutral,medium,True,34.6,las exportaciones pdf son legibles aunque el formato podría mejorar como freelancer esto afecta mucho mi flujo de trabajo,121,19,5,False,False,False,False,False,False
FB-00054,2025-06-30,nps_survey,agency,pro,es,La integración con Zapier conectó nuestro stack en menos de una hora. Gestionamos varias cuentas de clientes y esto nos está frenando.,4,integrations,positive,medium,True,15.7,la integración con zapier conectó nuestro stack en menos de una hora gestionamos varias cuentas de clientes y esto nos está frenando,132,22,6,False,True,False,False,False,False
FB-00055,2025-10-29,support_ticket,enterprise,pro,es,La experiencia móvil es casi inutilizable para nuestro equipo de campo.,1,usability,negative,low,True,8.6,la experiencia móvil es casi inutilizable para nuestro equipo de campo,70,11,10,True,False,False,False,False,False
FB-00056,2025-12-24,contact_form,freelancer,pro,es,"El costo es razonable, aunque nos gustarían más opciones intermedias.",3,pricing,neutral,low,True,2.3,el costo es razonable aunque nos gustarían más opciones intermedias,67,10,12,False,False,False,False,False,False
FB-00057,2025-09-02,nps_survey,freelancer,pro,en,CSV exports are fast and include all the fields we need.,4,exports,positive,low,True,3.2,csv exports are fast and include all the fields we need,55,11,9,False,True,False,False,False,False
FB-00058,2025-10-13,review,small_business,free,en,Price is okay for now; we'll reassess at renewal.,3,pricing,neutral,low,True,13.5,price is okay for now we ll reassess at renewal,47,10,10,False,False,False,False,False,False
FB-00059,2025-10-19,chat,enterprise,pro,en,The price increased 40% at renewal with no added value.,2,pricing,negative,high,True,39.2,the price increased 40 at renewal with no added value,53,10,10,True,False,False,True,False,False
FB-00060,2025-01-02,contact_form,freelancer,basic,en,Live chat support was knowledgeable and friendly.,4,support,positive,low,True,17.6,live chat support was knowledgeable and friendly,48,7,1,False,True,False,False,False,False
FB-00061,2025-08-06,contact_form,startup,basic,es,La aplicación se cae constantemente al cargar reportes grandes.,2,performance,negative,critical,False,56.6,la aplicación se cae constantemente al cargar reportes grandes,62,9,8,True,False,True,False,True,True
FB-00062,2025-08-13,review,agency,pro,en,Access controls work but admin settings are hard to find. We upgraded to Pro specifically for better service.,3,account_access,neutral,high,True,43.6,access controls work but admin settings are hard to find we upgraded to pro specifically for better service,107,18,8,False,False,False,True,False,False
FB-00063,2025-11-06,email,enterprise,pro,en,Performance degraded sharply after the last update. This affects multiple departments across our organization.,1,performance,negative,high,False,86.0,performance degraded sharply after the last update this affects multiple departments across our organization,108,14,11,True,False,False,True,True,False
FB-00064,2025-09-23,email,small_business,enterprise,es,"Competidores ofrecen funciones similares a la mitad del costo. Como clientes enterprise, esperamos atención prioritaria.",2,pricing,negative,medium,True,27.7,competidores ofrecen funciones similares a la mitad del costo como clientes enterprise esperamos atención prioritaria,117,15,9,True,False,False,False,False,False
FB-00065,2025-06-18,support_ticket,freelancer,basic,es,"El soporte de incorporación prometido nunca llegó. Con el plan básico, esperábamos un soporte más ágil.",2,onboarding,negative,medium,False,30.0,el soporte de incorporación prometido nunca llegó con el plan básico esperábamos un soporte más ágil,100,16,6,True,False,False,False,True,False
FB-00066,2025-12-03,chat,enterprise,free,en,The annual discount made upgrading an easy decision. This affects multiple departments across our organization.,4,pricing,positive,low,True,18.6,the annual discount made upgrading an easy decision this affects multiple departments across our organization,109,15,12,False,True,False,False,False,False
FB-00067,2025-05-28,contact_form,agency,basic,en,The billing section is functional but not particularly intuitive.,3,billing,neutral,medium,True,33.2,the billing section is functional but not particularly intuitive,64,9,5,False,False,False,False,False,False
FB-00068,2025-02-17,review,agency,enterprise,en,"The cost is reasonable, though we'd like more mid-tier options.",3,pricing,neutral,medium,True,12.7,the cost is reasonable though we d like more mid tier options,61,12,2,False,False,False,False,False,False
FB-00069,2025-09-05,review,startup,enterprise,en,The annual discount made upgrading an easy decision. We're scaling fast and need this resolved quickly.,5,pricing,positive,medium,True,44.9,the annual discount made upgrading an easy decision we re scaling fast and need this resolved quickly,101,17,9,False,True,False,False,False,False
FB-00070,2025-06-24,email,startup,enterprise,en,"The mobile experience is nearly unusable for our field staff. As enterprise customers, we expect priority handling.",1,usability,negative,high,False,95.9,the mobile experience is nearly unusable for our field staff as enterprise customers we expect priority handling,112,17,6,True,False,False,True,True,False
FB-00071,2025-10-10,chat,startup,pro,en,CSV exports corrupt special characters in our international data. We upgraded to Pro specifically for better service.,1,exports,negative,medium,True,30.9,csv exports corrupt special characters in our international data we upgraded to pro specifically for better service,115,17,10,True,False,False,False,False,False
FB-00072,2025-07-17,review,enterprise,enterprise,en,"Onboarding documentation is outdated and contradicts the actual UI. As enterprise customers, we expect priority handling.",1,onboarding,negative,low,True,21.1,onboarding documentation is outdated and contradicts the actual ui as enterprise customers we expect priority handling,118,16,7,True,False,False,False,False,False
FB-00073,2025-12-02,chat,small_business,enterprise,es,Las exportaciones programadas a nuestro data warehouse funcionan sin fallos. Nuestro equipo pequeño depende de que esto funcione bien.,5,exports,positive,low,True,15.7,las exportaciones programadas a nuestro data warehouse funcionan sin fallos nuestro equipo pequeño depende de que esto funcione bien,132,19,12,False,True,False,False,False,False
FB-00074,2025-06-12,chat,agency,enterprise,en,"Competitors shipped these features months ago. As enterprise customers, we expect priority handling.",1,features,negative,high,False,90.3,competitors shipped these features months ago as enterprise customers we expect priority handling,97,13,6,True,False,False,True,True,False
FB-00075,2025-03-27,review,freelancer,enterprise,en,"We got started eventually, but documentation could be better organized. As enterprise customers, we expect priority handling.",3,onboarding,neutral,critical,False,83.2,we got started eventually but documentation could be better organized as enterprise customers we expect priority handling,121,17,3,False,False,True,False,True,True
FB-00076,2025-03-29,nps_survey,agency,basic,en,The help center articles resolved my question on the first try. We manage several client accounts and this is blocking delivery.,5,support,positive,medium,True,17.6,the help center articles resolved my question on the first try we manage several client accounts and this is blocking delivery,126,21,3,False,True,False,False,False,False
FB-00077,2025-12-08,email,enterprise,pro,en,CSV exports are fast and include all the fields we need.,4,exports,positive,medium,True,11.0,csv exports are fast and include all the fields we need,55,11,12,False,True,False,False,False,False
FB-00078,2025-08-22,nps_survey,enterprise,pro,es,Pagamos tarifas enterprise pero recibimos un servicio básico. Esto impacta a varios departamentos de nuestra organización.,1,pricing,negative,high,True,41.1,pagamos tarifas enterprise pero recibimos un servicio básico esto impacta a varios departamentos de nuestra organización,120,16,8,True,False,False,True,False,False
FB-00079,2025-01-05,email,enterprise,pro,en,Pricing is competitive but the jump between tiers feels steep.,3,pricing,neutral,high,False,89.0,pricing is competitive but the jump between tiers feels steep,61,10,1,False,False,False,True,True,False
FB-00080,2025-12-14,review,small_business,pro,es,El conjunto de funciones cubre lo básico; queremos más personalización.,3,features,neutral,low,True,8.8,el conjunto de funciones cubre lo básico queremos más personalización,69,10,12,False,False,False,False,False,False
FB-00081,2025-06-17,chat,freelancer,pro,es,"El módulo de analítica superó nuestras expectativas. Como freelancer, esto afecta mucho mi flujo de trabajo.",4,features,positive,medium,True,46.9,el módulo de analítica superó nuestras expectativas como freelancer esto afecta mucho mi flujo de trabajo,105,16,6,False,True,False,False,False,False
FB-00082,2025-06-01,email,startup,enterprise,en,We're paying enterprise rates but getting basic-level service.,1,pricing,negative,high,False,40.2,we re paying enterprise rates but getting basic level service,61,10,6,True,False,False,True,True,False
FB-00083,2025-07-22,contact_form,startup,free,es,Nos dejaron solos tras el registro sin pasos claros a seguir. Estamos creciendo rápido y necesitamos una solución pronto.,1,onboarding,negative,critical,False,137.9,nos dejaron solos tras el registro sin pasos claros a seguir estamos creciendo rápido y necesitamos una solución pronto,119,19,7,True,False,True,False,True,True
FB-00084,2025-01-13,nps_survey,small_business,enterprise,en,"Custom workflows are powerful and flexible. As enterprise customers, we expect priority handling.",4,features,positive,low,True,22.0,custom workflows are powerful and flexible as enterprise customers we expect priority handling,94,13,1,False,True,False,False,False,False
FB-00085,2025-09-10,nps_survey,freelancer,pro,en,"Performance is acceptable most days, with occasional slowdowns. As a freelancer, this matters a lot to my workflow.",3,performance,neutral,medium,False,13.4,performance is acceptable most days with occasional slowdowns as a freelancer this matters a lot to my workflow,111,18,9,False,False,False,False,True,False
FB-00086,2025-12-02,chat,small_business,enterprise,en,Integrations work for common tools but niche connectors are missing.,3,integrations,neutral,high,False,44.1,integrations work for common tools but niche connectors are missing,67,10,12,False,False,False,True,True,False
FB-00087,2025-02-20,contact_form,small_business,pro,es,"Podemos exportar datos, pero las exportaciones grandes a veces fallan por tiempo.",3,exports,neutral,medium,True,23.9,podemos exportar datos pero las exportaciones grandes a veces fallan por tiempo,79,12,2,False,False,False,False,False,False
FB-00088,2025-01-26,review,small_business,free,en,We can't export historical data beyond 30 days on our plan. Our small team depends on this working reliably.,1,exports,negative,low,True,3.5,we can t export historical data beyond 30 days on our plan our small team depends on this working reliably,106,20,1,True,False,False,False,False,False
FB-00089,2025-03-17,email,small_business,pro,en,"Support eventually helped, but it took longer than expected. Our small team depends on this working reliably.",3,support,neutral,high,False,95.1,support eventually helped but it took longer than expected our small team depends on this working reliably,106,17,3,False,False,False,True,True,False
FB-00090,2025-01-08,email,freelancer,basic,en,"Design is fine overall, though a few flows feel outdated. Given our basic plan, we hoped for smoother support.",3,usability,neutral,low,True,5.8,design is fine overall though a few flows feel outdated given our basic plan we hoped for smoother support,106,19,1,False,False,False,False,False,False
FB-00091,2025-08-18,support_ticket,freelancer,enterprise,en,"Training materials helped us adopt the platform quickly. As enterprise customers, we expect priority handling.",5,onboarding,positive,medium,False,9.7,training materials helped us adopt the platform quickly as enterprise customers we expect priority handling,107,15,8,False,True,False,False,True,False
FB-00092,2025-09-03,contact_form,freelancer,free,es,"Las opciones de exportación cubren la mayoría de necesidades con algunas brechas. Como freelancer, esto afecta mucho mi flujo de trabajo.",3,exports,neutral,medium,True,36.5,las opciones de exportación cubren la mayoría de necesidades con algunas brechas como freelancer esto afecta mucho mi flujo de trabajo,134,21,9,False,False,False,False,False,False
FB-00093,2025-03-06,chat,small_business,free,en,Performance has been rock solid even during peak usage.,5,performance,positive,medium,True,31.9,performance has been rock solid even during peak usage,54,9,3,False,True,False,False,False,False
FB-00094,2025-08-09,nps_survey,freelancer,basic,en,Multi-factor authentication setup was straightforward.,5,account_access,positive,medium,True,37.2,multi factor authentication setup was straightforward,53,6,8,False,True,False,False,False,False
FB-00095,2025-02-04,nps_survey,small_business,enterprise,en,"The pricing is fair for the value we get from the platform. As enterprise customers, we expect priority handling.",4,pricing,positive,low,True,19.9,the pricing is fair for the value we get from the platform as enterprise customers we expect priority handling,110,19,2,False,True,False,False,False,False
FB-00096,2025-07-01,email,freelancer,enterprise,es,La integración con Zapier conectó nuestro stack en menos de una hora.,5,integrations,positive,high,True,49.3,la integración con zapier conectó nuestro stack en menos de una hora,68,12,7,False,True,False,True,False,False
FB-00097,2025-06-29,email,small_business,free,en,The mobile experience is nearly unusable for our field staff. Our small team depends on this working reliably.,1,usability,negative,high,True,54.9,the mobile experience is nearly unusable for our field staff our small team depends on this working reliably,108,18,6,True,False,False,True,False,False
FB-00098,2025-11-08,email,agency,free,en,I can't reset my password and support hasn't helped in days. We manage several client accounts and this is blocking delivery.,1,account_access,negative,high,False,90.4,i can t reset my password and support hasn t helped in days we manage several client accounts and this is blocking delivery,123,23,11,True,False,False,True,True,False
FB-00099,2025-03-14,nps_survey,enterprise,free,en,The interface is very intuitive; I configured everything in minutes. This affects multiple departments across our organization.,5,usability,positive,medium,True,26.1,the interface is very intuitive i configured everything in minutes this affects multiple departments across our organization,124,17,3,False,True,False,False,False,False
FB-00100,2025-01-27,review,agency,free,es,Las nuevas funciones encajan bien con lo que realmente necesitamos. Gestionamos varias cuentas de clientes y esto nos está frenando.,5,features,positive,medium,True,18.9,las nuevas funciones encajan bien con lo que realmente necesitamos gestionamos varias cuentas de clientes y esto nos está frenando,130,20,1,False,True,False,False,False,False
FB-00101,2025-09-20,contact_form,startup,basic,es,Los controles de acceso funcionan pero los ajustes de admin son difíciles de encontrar. Estamos creciendo rápido y necesitamos una solución pronto.,3,account_access,neutral,high,True,72.8,los controles de acceso funcionan pero los ajustes de admin son difíciles de encontrar estamos creciendo rápido y necesitamos una solución pronto,145,22,9,False,False,False,True,False,False
FB-00102,2025-01-04,email,enterprise,free,es,Funciones esenciales están bloqueadas en el plan más caro. Esto impacta a varios departamentos de nuestra organización.,1,pricing,negative,low,True,7.6,funciones esenciales están bloqueadas en el plan más caro esto impacta a varios departamentos de nuestra organización,117,17,1,True,False,False,False,False,False
FB-00103,2025-07-14,nps_survey,small_business,basic,en,Scheduled exports to our data warehouse work flawlessly.,5,exports,positive,medium,True,42.5,scheduled exports to our data warehouse work flawlessly,55,8,7,False,True,False,False,False,False
FB-00104,2025-10-21,support_ticket,agency,enterprise,es,Las exportaciones CSV corrompen caracteres especiales en nuestros datos internacionales.,1,exports,negative,critical,True,87.0,las exportaciones csv corrompen caracteres especiales en nuestros datos internacionales,87,10,10,True,False,True,False,False,False
FB-00105,2025-08-12,email,freelancer,basic,es,Los competidores lanzaron estas funciones hace meses.,1,features,negative,low,True,9.3,los competidores lanzaron estas funciones hace meses,52,7,8,True,False,False,False,False,False
FB-00106,2025-06-29,review,small_business,pro,es,Los tiempos de carga son consistentemente bajos para nuestro equipo. Nuestro equipo pequeño depende de que esto funcione bien.,4,performance,positive,medium,True,32.1,los tiempos de carga son consistentemente bajos para nuestro equipo nuestro equipo pequeño depende de que esto funcione bien,124,19,6,False,True,False,False,False,False
FB-00107,2025-12-15,contact_form,agency,enterprise,en,Export formats are flexible and easy to automate.,4,exports,positive,medium,True,25.7,export formats are flexible and easy to automate,48,8,12,False,True,False,False,False,False
